Classes,Homework,Work,Alpha Phi Omega,Miscellaneous,Sleep
0,2,0,0,14,8
0,2,0,0,13,9
0,0,5,0,11,8
3.5,2,1,0,8.5,9
2.5,0,5,0,8.5,8
0,0.5,1,0,14.5,8
0,0,0,0,15,9
0,1,0,0,15,8
3.5,2,6,0,4.5,8
1.5,4,0,0,13.5,8
3.5,0.5,3,1,9,7
1.5,2,6,0,6.5,8
0,3,0,0,13,8
0,0,0,0,16,8
0,2.5,0,0,13.5,8
0,4,0,0,12,8
1.5,4,6,0,4.5,8
3.5,7,1,2,3.5,7
1.5,2,6,0,6.5,8
0,4,0,0,12,8
0,1,0,0,15,8
0,3.5,0,0,11.5,9
3.5,3,0,0,10.5,7
2.5,4,6,0,3.5,8
3.5,5,0,2,6.5,7
2.5,2,6,0,5.5,8
0,0,0,0,16,8
0,2,0,0,14,8
0,3.5,0,4,8.5,8
3.5,4,0,1,8.5,7
2.5,2,6,0,6.5,7
